"rental_id","rental_date","rental_month","customer_id","customer_name","total_rents","active","city","country","film_id","film_title","category","length","inventory_id","store_id","staff_id","staff_name","payment_amount","payment_date","rental_duration"
1,"2005-05-24","May      ",130,"Charlotte Hunter",1,1,"guas Lindas de Gois","Brazil",80,"Blanket Beverly","Family",148,367,1,1,"Mike Hillyer",0.00,NULL,7
2,"2005-05-24","May      ",459,"Tommy Collazo",1,1,"Qomsheh","Iran",333,"Freaky Pocus","Music",126,1525,1,1,"Mike Hillyer",0.00,NULL,7
3,"2005-05-24","May      ",408,"Manuel Murrell",1,1,"Jaffna","Sri Lanka",373,"Graduate Lord","Children",156,1711,1,1,"Mike Hillyer",0.00,NULL,7
4,"2005-05-24","May      ",333,"Andrew Purdy",1,1,"Baku","Azerbaijan",535,"Love Suicides","Horror",181,2452,2,2,"Jon Stephens",0.00,NULL,6
5,"2005-05-24","May      ",222,"Delores Hansen",1,1,"Jaroslavl","Russian Federation",450,"Idols Snatchers","Children",84,2079,1,1,"Mike Hillyer",0.00,NULL,5
6,"2005-05-24","May      ",549,"Nelson Christenson",1,1,"Santiago de Compostela","Spain",613,"Mystic Truman","Comedy",92,2792,1,1,"Mike Hillyer",0.00,NULL,5
7,"2005-05-24","May      ",269,"Cassandra Walters",1,1,"Salinas","United States",870,"Swarm Gold","Horror",123,3995,2,2,"Jon Stephens",0.00,NULL,4
8,"2005-05-24","May      ",239,"Minnie Romero",1,1,"Ciomas","Indonesia",510,"Lawless Vision","Animation",181,2346,2,2,"Jon Stephens",0.00,NULL,6
9,"2005-05-25","May      ",126,"Ellen Simpson",1,1,"Po","Brazil",565,"Matrix Snowman","Foreign",56,2580,1,1,"Mike Hillyer",0.00,NULL,6
10,"2005-05-25","May      ",399,"Danny Isom",1,1,"Okara","Pakistan",396,"Hanging Deep","Drama",62,1824,2,2,"Jon Stephens",0.00,NULL,5
11,"2005-05-25","May      ",142,"April Burns",1,1,"Dundee","United Kingdom",971,"Whale Bikini","Foreign",109,4443,2,2,"Jon Stephens",0.00,NULL,4
12,"2005-05-25","May      ",261,"Deanna Byrd",1,1,"Tuguegarao","Philippines",347,"Games Bowfinger","Travel",119,1584,2,2,"Jon Stephens",0.00,NULL,7
13,"2005-05-25","May      ",334,"Raymond Mcwhorter",1,1,"Sumqayit","Azerbaijan",499,"King Evolution","Family",184,2294,1,1,"Mike Hillyer",0.00,NULL,3
14,"2005-05-25","May      ",446,"Theodore Culp",1,0,"Uluberia","India",593,"Monterey Labyrinth","Horror",158,2701,1,1,"Mike Hillyer",0.00,NULL,6
15,"2005-05-25","May      ",319,"Ronald Weiner",1,1,"San Felipe del Progreso","Mexico",670,"Pelican Comforts","Documentary",48,3049,1,1,"Mike Hillyer",0.00,NULL,4
16,"2005-05-25","May      ",316,"Steven Curley",1,1,"Miraj","India",86,"Boogie Amelie","Music",121,389,2,2,"Jon Stephens",0.00,NULL,6
17,"2005-05-25","May      ",575,"Isaac Oglesby",1,1,"Cuernavaca","Mexico",181,"Contact Anonymous","Travel",166,830,1,1,"Mike Hillyer",0.00,NULL,7
18,"2005-05-25","May      ",19,"Ruth Martinez",1,1,"Kimberley","South Africa",741,"Roman Punk","Music",81,3376,2,2,"Jon Stephens",0.00,NULL,7
19,"2005-05-25","May      ",456,"Ronnie Ricketts",1,1,"Ziguinchor","Senegal",422,"Hollow Jeopardy","Sci-Fi",136,1941,1,1,"Mike Hillyer",0.00,NULL,7
20,"2005-05-25","May      ",185,"Roberta Harper",1,1,"Shahr-e Kord","Iran",770,"Scissorhands Slums","Foreign",147,3517,2,2,"Jon Stephens",0.00,NULL,5
21,"2005-05-25","May      ",388,"Craig Morrell",1,1,"Cavite","Philippines",31,"Apache Divine","Family",92,146,2,2,"Jon Stephens",0.00,NULL,5
22,"2005-05-25","May      ",509,"Raul Fortier",1,1,"Chapra","India",159,"Closer Bang","Comedy",58,727,2,2,"Jon Stephens",0.00,NULL,5
23,"2005-05-25","May      ",438,"Barry Lovelace",1,1,"Kitwe","Zambia",971,"Whale Bikini","Foreign",109,4441,1,1,"Mike Hillyer",0.00,NULL,4
24,"2005-05-25","May      ",350,"Juan Fraley",1,1,"Teboksary","Russian Federation",721,"Reds Pocus","Music",182,3273,1,1,"Mike Hillyer",0.00,NULL,7
25,"2005-05-25","May      ",37,"Pamela Baker",1,1,"Nanyang","China",863,"Sun Confessions","Sci-Fi",141,3961,2,2,"Jon Stephens",0.00,NULL,5
26,"2005-05-25","May      ",371,"Billy Poulin",1,1,"Cabuyao","Philippines",953,"Wait Cider","Animation",112,4371,1,1,"Mike Hillyer",0.00,NULL,3
27,"2005-05-25","May      ",301,"Robert Baughman",1,1,"Kaliningrad","Russian Federation",271,"Easy Gladiator","Action",148,1225,2,2,"Jon Stephens",0.00,NULL,5
28,"2005-05-25","May      ",232,"Constance Reid",1,1,"Zaria","Nigeria",887,"Thief Pelican","Animation",135,4068,2,2,"Jon Stephens",0.00,NULL,5
29,"2005-05-25","May      ",44,"Marie Turner",1,1,"Lipetsk","Russian Federation",132,"Chainsaw Uptown","Sci-Fi",114,611,2,2,"Jon Stephens",0.00,NULL,6
30,"2005-05-25","May      ",430,"Ray Houle",1,1,"Dzerzinsk","Russian Federation",819,"Song Hedwig","Music",165,3744,1,1,"Mike Hillyer",0.00,NULL,3
31,"2005-05-25","May      ",369,"Fred Wheat",1,1,"Jurez","Mexico",979,"Witches Panic","Drama",100,4482,1,1,"Mike Hillyer",0.00,NULL,6
32,"2005-05-25","May      ",230,"Joy George",1,1,"Botosani","Romania",839,"Stallion Sundance","Sci-Fi",130,3832,1,1,"Mike Hillyer",0.00,NULL,5
33,"2005-05-25","May      ",272,"Kay Caldwell",1,1,"Yantai","China",367,"Goldmine Tycoon","Sci-Fi",153,1681,1,1,"Mike Hillyer",0.00,NULL,6
34,"2005-05-25","May      ",597,"Freddie Duggan",1,1,"Sullana","Peru",573,"Microcosmos Paradise","Children",105,2613,2,2,"Jon Stephens",0.00,NULL,6
35,"2005-05-25","May      ",484,"Roberto Vu",1,1,"Yinchuan","China",284,"Enemy Odds","Music",77,1286,2,2,"Jon Stephens",0.00,NULL,5
36,"2005-05-25","May      ",88,"Bonnie Hughes",1,1,"Cheju","South Korea",288,"Escape Metropolis","Travel",167,1308,1,1,"Mike Hillyer",0.00,NULL,7
37,"2005-05-25","May      ",535,"Javier Elrod",1,1,"NDjamna","Chad",89,"Borrowers Bedazzled","Animation",63,403,1,1,"Mike Hillyer",0.00,NULL,7
38,"2005-05-25","May      ",302,"Michael Silverman",1,1,"Tiefa","China",557,"Manchurian Curtain","Family",177,2540,1,1,"Mike Hillyer",0.00,NULL,5
39,"2005-05-25","May      ",207,"Gertrude Castillo",1,1,"Nuuk","Greenland",976,"Wind Phantom","Games",111,4466,2,2,"Jon Stephens",0.00,NULL,6
